,rank,title,studio,gross,theatres_life,opening,theaters_opening,date
131,126,Tous les Matins du Monde(France),Oct.,"$3,089,497",33,"$39,277",1,11/13/92
132,127,The Widow of St. Pierre,Lions,"$3,074,234",83,"$31,702",1,3/2/01
133,128,The Band's Visit(Israel),SPC,"$3,054,457",121,"$67,492",7,2/8/08
134,129,Russian Ark,Wells,"$3,048,997",22,"$29,022",2,12/13/02
135,130,Jab Tak Hai Jaan,Yash,"$3,047,539",164,"$1,283,585",161,11/13/12
136,131,The Last Metro(France),MGM,"$3,007,436",-,n/a,-,2/13/81
137,132,Phoenix (2015),IFC,"$2,946,515",197,"$30,296",2,7/24/15
138,133,Veer Zaara(India),Yash,"$2,938,532",88,"$843,010",88,11/11/04
139,134,Tsotsi,Mira.,"$2,912,606",122,"$76,324",6,2/24/06
140,135,Kabhi Khushi Kabhie Gham,Yash,"$2,902,000",44,"$110,000",44,12/14/01
141,136,Talaash,Relbig.,"$2,871,956",172,"$1,638,706",172,11/30/12
142,137,The Great Beauty,Jan.,"$2,852,400",77,"$23,442",1,11/15/13
143,138,Monsieur Ibrahim(France),SPC,"$2,823,890",92,"$53,174",7,12/3/03
144,139,Barfi!,UTV,"$2,804,874",132,"$1,061,713",132,9/14/12
145,140,"Ma Fille, Mon Ange",All.,"$2,779,545",87,"$795,000",87,2/16/07
146,141,Devdas,Eros,"$2,745,382",-,n/a,-,7/12/02
147,142,In the Mood for Love(Hong Kong),USA,"$2,738,980",74,"$113,280",6,2/2/01
148,143,Ram-Leela,Eros,"$2,738,863",204,"$1,449,174",204,11/15/13
149,144,Walk on Water,IDP,"$2,713,932",47,"$60,465",10,3/4/05
150,145,Dhoom 2(India),Yash,"$2,643,586",63,"$979,001",63,11/23/06
151,146,The Raid 2,SPC,"$2,627,209",954,"$165,292",7,3/28/14
152,147,Raise the Red Lantern(China),OrionC,"$2,603,061",40,"$22,554",1,3/13/92
153,148,The Admiral: Roaring Currents,CJ,"$2,589,811",45,"$51,431",1,8/8/14
154,149,Jiro Dreams of Sushi,Magn.,"$2,552,478",80,"$42,035",2,3/9/12
155,150,Bang Bang,FIP,"$2,546,172",271,"$1,278,690",271,10/2/14
156,151,Man on the Train(France),ParC,"$2,542,020",85,"$41,138",5,5/9/03
157,152,Dabangg 2,Eros,"$2,519,190",166,"$1,019,213",166,12/21/12
158,153,RA One,Eros,"$2,511,689",189,n/a,189,10/26/11
159,154,Bon Voyage,SPC,"$2,503,286",94,"$27,480",1,3/19/04
160,155,Bon Voyage (Canada),TVA,"$2,503,286",16,"$38,682",16,10/17/03
161,156,Himalaya(Nepal),Kino,"$2,487,878",34,"$21,881",7,3/30/01
162,157,Kick,UTV,"$2,472,695",180,"$1,071,373",180,7/25/14
163,158,Le Secret de Me Mere(French Canada),All.,"$2,438,422",2,n/a,-,7/7/06
164,159,Ghajini(India),AdL.,"$2,430,627",83,"$766,859",83,12/24/08
165,160,Love Aaj Kal(India),Eros,"$2,430,083",102,"$1,241,762",102,7/31/09
166,161,"Spring, Summer, Fall, Winter... and Spring",SPC,"$2,380,788",74,"$42,561",6,4/2/04
167,162,Ek Tha Tiger,Yash,"$2,347,774",120,"$1,139,340",120,8/15/12
168,163,No (2013),SPC,"$2,343,664",99,"$71,742",4,2/15/13
169,164,To Live(China),Gold.,"$2,332,728",67,"$32,900",2,11/18/94
170,165,East-West(France),SPC,"$2,321,029",70,"$56,147",8,4/7/00
171,166,Burnt by the Sun(Russia),SPC,"$2,302,338",55,"$60,074",9,4/21/95
172,167,Renoir,Gold.,"$2,293,798",86,"$65,194",6,3/29/13
173,168,Waltz with Bashir,SPC,"$2,283,849",208,"$50,021",5,12/25/08
174,169,The Nasty Girl(Germany),Mira.,"$2,281,569",40,"$19,491",2,10/26/90
175,170,The Night of the Shooting Stars(Italy),MGM,"$2,251,121",-,n/a,-,1/21/83
176,171,2 States,UTV,"$2,238,174",137,"$1,073,898",135,4/18/14
177,172,Don(India),UTV,"$2,223,961",113,"$804,388",113,10/20/06
178,173,The White Ribbon(Germany),SPC,"$2,222,862",106,"$59,848",3,12/30/09
179,174,Lage Raho Munna Bhai(India),Eros,"$2,217,562",72,"$863,073",65,9/1/06
180,175,Autumn Tale,Oct.,"$2,205,339",53,"$33,631",2,7/9/99
181,176,The Host,Magn.,"$2,201,923",116,"$314,488",71,3/9/07
182,177,Blue Is the Warmest Color,IFC,"$2,199,787",142,"$100,316",4,10/25/13
183,178,Rang De Basanti,UTV,"$2,197,694",66,"$701,666",61,1/27/06
184,179,Krrish 3,Eros,"$2,191,534",208,"$1,049,560",208,11/1/13
185,180,Priceless(France),Gold.,"$2,165,188",44,"$116,308",24,3/30/08
186,181,Ma Vie En Rose(France),SPC,"$2,162,043",63,"$76,212",14,12/26/97
187,182,Singh Is Kinng(India),Stu18,"$2,159,376",112,"$1,154,528",112,8/7/08
188,183,Let the Right One In (2008)(Sweden),Magn.,"$2,122,065",53,"$49,295",4,10/24/08
189,184,Intimate Strangers(France),ParC,"$2,110,589",94,"$55,836",5,7/30/04
190,185,Gloria (2014),RAtt.,"$2,107,925",110,"$56,454",3,1/24/14
191,186,Fanaa,Yash,"$2,105,352",72,"$753,067",72,5/26/06
192,187,The Sea Inside(Spain),FL,"$2,104,923",99,"$55,681",23,12/17/04
193,188,Guru(India),AdL.,"$2,096,000",76,"$760,000",71,1/12/07
194,189,Butterfly(Spain),Mira.,"$2,092,682",72,"$82,973",14,6/16/00
